"cbsa10","cbsaname10","intptlon","intptlat","pop10","afact"
"CBSA (2010)","2010 CBSA name","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Population (2010)","_us_ to cbsa10 allocation factor"
"15580","Butte-Silver Bow, MT Micropolitan Statistical Area",-112.52436,45.98796,34200,0.000111 
"15620","Cadillac, MI Micropolitan Statistical Area",-85.390094,44.307103,47584,0.000154 
"15660","Calhoun, GA Micropolitan Statistical Area",-84.908795,34.498327,55186,0.000179 
"15700","Cambridge, MD Micropolitan Statistical Area",-76.0097,38.570624,32618,0.000106 
"15740","Cambridge, OH Micropolitan Statistical Area",-81.541812,40.016789,40087,0.00013 
"15780","Camden, AR Micropolitan Statistical Area",-92.780306,33.5773,31488,0.000102 
"15820","Campbellsville, KY Micropolitan Statistical Area",-85.343426,37.350402,24512,0.000079 
"15860","Cañon City, CO Micropolitan Statistical Area",-105.206539,38.426059,46824,0.000152 
"15900","Canton, IL Micropolitan Statistical Area",-90.119235,40.521964,37069,0.00012 
"15940","Canton-Massillon, OH Metropolitan Statistical Area",-81.367724,40.820707,404422,0.00131 
"15980","Cape Coral-Fort Myers, FL Metropolitan Statistical Area",-81.858159,26.574993,618754,0.002004 
"16020","Cape Girardeau-Jackson, MO-IL Metropolitan Statistical Area",-89.629537,37.334373,96275,0.000312 
"16060","Carbondale, IL Micropolitan Statistical Area",-89.274067,37.747793,60218,0.000195 
"16100","Carlsbad-Artesia, NM Micropolitan Statistical Area",-104.291596,32.547602,53829,0.000174 
"16180","Carson City, NV Metropolitan Statistical Area",-119.753712,39.166135,55274,0.000179 
"16220","Casper, WY Metropolitan Statistical Area",-106.336867,42.844218,75450,0.000244 
"16260","Cedar City, UT Micropolitan Statistical Area",-113.073793,37.709162,46163,0.00015 
"16300","Cedar Rapids, IA Metropolitan Statistical Area",-91.648766,42.025077,257940,0.000835 
"16340","Cedartown, GA Micropolitan Statistical Area",-85.176768,34.010879,41475,0.000134 
"16380","Celina, OH Micropolitan Statistical Area",-84.608358,40.517287,40814,0.000132 
"16420","Central City, KY Micropolitan Statistical Area",-87.147061,37.238091,31499,0.000102 
"16460","Centralia, IL Micropolitan Statistical Area",-89.016907,38.590711,39437,0.000128 
